Sl. No,Soil Series,Area,Lat,Long,"Depth, cm, beginning","Depth, end",Sand,Clay,pH,Organic Carbon
30,BARABARUA,55800,25.17,89.12,0,15,54.9,12,5.7,0.32
,,,25.17,89.12,15,33,52.1,17.2,5.8,0.39
,,,25.17,89.12,33,64,49.8,16.9,5.9,0.21
,,,25.17,89.12,64,120,47.1,21.2,5.9,0.42
31,BARAKADRA,28400,22.71,87.22,0,14,46,18.7,6,0.36
,,,22.71,87.22,14,39,23.4,32.7,6,0.26
,,,22.71,87.22,39,56,15.2,42.7,6.1,0.07
,,,22.71,87.22,56,83,24.4,46.7,5.9,0.07
,,,22.71,87.22,83,110,13.2,48.7,5.7,0.11
,,,22.71,87.22,110,150,14.4,45.7,5.6,0.17
32,BARBUNG,24500,26.88,88.3,0,12,36.1,22.1,4.5,3.22
,,,26.88,88.3,12,50,46.1,20.1,4.6,1.31
,,,26.88,88.3,50,70,44.1,18.1,4.6,1.94
,,,26.88,88.3,70,86,34.1,32.1,4.6,1.28
,,,26.88,88.3,86,185,39.1,26.1,4.7,0.56
33,BASUDHA,43500,23.4,87.48,0,20,25.6,32.3,5.8,0.65
,,,23.4,87.48,20,50,28,30.9,6.2,0.3
,,,23.4,87.48,50,75,29,29,6.3,0.22
,,,23.4,87.48,75,100,31,28.6,6.4,0.16
34,BERUBARI,11900,26.45,88.7,0,21,30,30,4.5,1.23
,,,26.45,88.7,21,44,30.4,27.7,5.5,0.81
,,,26.45,88.7,44,66,37,22.7,5.5,0.22
,,,26.45,88.7,66,130,57.1,18,6.3,0.14
35,BHADULIA,5900,23.82,87.25,0,13,48.6,22.8,5.6,0.44
,,,23.82,87.25,13,27,51.6,24.6,5.8,0.36
,,,23.82,87.25,27,57,54.1,29,6.1,0.32
,,,23.82,87.25,57,88,49.3,35.1,6.3,0.25
,,,23.82,87.25,88,117,45.5,35.9,6.5,0.19
,,,23.82,87.25,117,150,46.2,36.6,6.3,0.16
36,BHELADANGA,105900,23.53,89.47,0,16,69.7,3.7,5.5,0.55
,,,23.53,89.47,16,56,57.7,11,5.7,0.41
,,,23.53,89.47,56,96,46.6,18.8,5.5,0.34
,,,23.53,89.47,96,155,42.9,15.4,5,0.21
37,BIJANBARI,12500,27.07,88.2,0,19,46.7,21.9,5.3,2.82
,,,27.07,88.2,19,50,45.7,25.9,5.5,1.94
,,,27.07,88.2,50,78,52.7,21.9,5.6,1.27
,,,27.07,88.2,78,160,58.7,14.9,5.6,0.48
38,BIJIR,86500,20.27,88.07,0,13,25.3,35.5,5.8,0.6
,,,20.27,88.07,13,42,15.4,42.1,6.5,0.3
,,,20.27,88.07,42,71,12.6,43.2,6.7,0.2
,,,20.27,88.07,71,108,8.3,45.6,6.7,N/A
,,,20.27,88.07,108,150,7.5,42.3,6.8,0.12
39,BINNAGURI,8400,26.67,88.62,0,17,80.8,11.9,4.6,1.56
,,,26.67,88.62,17,39,80.4,9.9,5.8,0.11
,,,26.67,88.62,39,65,86,9.9,6.3,0.71
40,BURUL,56300,22.37,88.1,0,13,2,58.5,7.5,0.4
,,,22.37,88.1,13,29,7.5,55.5,7.8,0.28
,,,22.37,88.1,29,50,0.4,55.5,7.8,0.23
,,,22.37,88.1,50,75,0.8,50.5,7.9,0.35
,,,22.37,88.1,75,125,0.8,54.5,7.9,0.29
41,CHAKNON,5600,22.12,87.85,0,15,9,37.7,5.8,0.6
,,,22.12,87.85,15,39,8,46.4,6,0.48
,,,22.12,87.85,39,70,6.2,53,6.1,0.32
,,,22.12,87.85,70,101,5.8,44.9,6.3,0.08
42,CHAKPRAYAG,67260,22.5,87.75,0,16,4.4,65.1,6.2,0.42
,,,22.5,87.75,16,41,1.2,66.1,6.3,0.3
,,,22.5,87.75,41,64,1.6,66.1,6.4,0.25
,,,22.5,87.75,64,99,1.6,67.1,6.5,0.2
,,,22.5,87.75,99,135,3.8,68.1,6.7,0.18
43,CHOTA MANGWA,83400,27.05,88.4,0,11,68.2,19.5,5.1,4.6
,,,27.05,88.4,11,45,60.7,17.3,5.3,3.7
,,,27.05,88.4,45,61,65.7,24.3,5.4,2.7
44,CHUNABHATI,77300,26.67,88.5,0,19,80.8,10.8,5,1.08
,,,26.67,88.5,19,34,82.6,8.9,6,1.17
,,,26.67,88.5,34,62,81.6,7.9,5.5,0.66
45,DAKSHIN HARISHCHANDRAPUR,72800,20.35,88.42,0,15,22.2,38.5,6,0.6
,,,20.35,88.42,15,25,17,41.5,5.8,0.4
,,,20.35,88.42,25,50,14,43.5,5.5,0.2
,,,20.35,88.42,50,75,10.5,44,5.6,0.3
,,,20.35,88.42,75,130,8.5,47,5.8,0.2
46,DAKSHINBAHAL,16600,23.38,86.4,0,12,56,19.9,5.1,0.9
,,,23.38,86.4,12,33,51,29.3,6.1,0.3
,,,23.38,86.4,33,44,55.4,29.3,6.2,0.3
,,,23.38,86.4,44,81,56.4,31.3,6.3,0.3
,,,23.38,86.4,81,110,54,29.3,6.6,0.3
47,DARABOYJOT,99100,26.67,88.38,0,25,80.8,10.9,4.5,0.33
,,,26.67,88.38,25,55,86.8,8.9,4.8,0.26
,,,26.67,88.38,55,89,77.7,10.9,5,0.24
,,,26.67,88.38,89,113,61.2,12.9,5.2,0.3
,,,26.67,88.38,113,135,88.4,6.8,5.9,0.11
48,DHANCHIA,17600,22.73,87.25,0,10,54,15.5,5.6,0.3
,,,22.73,87.25,10,26,50.6,15.6,6,0.26
,,,22.73,87.25,26,59,53.4,28.6,6.2,0.2
,,,22.73,87.25,59,84,47.6,33.6,6.4,0.12
,,,22.73,87.25,84,145,46,30.4,6.4,0.09
49,DIGRAGAN,59000,23.58,86.58,0,16,62,22,5.1,0.47
,,,23.58,86.58,16,31,63.2,26.8,5.2,0.4
,,,23.58,86.58,31,43,64,28.8,5.2,0.4
50,DURGAPUR,22300,25.53,88.15,0,14,17.3,28.3,6.8,0.5
,,,25.53,88.15,14,30,16.8,31.3,7.2,0.26
,,,25.53,88.15,33,50,16.2,33.7,7.4,0.3
,,,25.53,88.15,50,75,16,33,7.5,0.25
,,,25.53,88.15,75,100,16.1,35.8,7.7,0.15
51,GANFULIA,18400,23.55,88.12,0,16,30,44,7.2,0.44
,,,23.55,88.12,16,36,27,42,7.5,0.29
,,,23.55,88.12,36,50,14,43.5,7.6,0.3
,,,23.55,88.12,50,75,10,45.4,7.6,0.2
,,,23.55,88.12,75,120,4,46,7.8,0.15
52,SHYAMPUR,80300,22.28,88.02,0,10,16.3,35.5,6.2,0.4
,,,22.28,88.02,10,28,12.2,41.5,6.3,0.22
,,,22.28,88.02,28,50,12,42.5,6.4,0.22
,,,22.28,88.02,50,75,10,43.6,6.5,0.14
,,,22.28,88.02,75,100,6,46,6.7,0.1
53,SINGPUR,14300,23.63,84.58,0,13,63.4,17.1,6.6,0.37
,,,23.63,84.58,13,30,55,28.1,7,0.24
54,SITALPUR,123100,22.18,87.93,0,16,2.8,54.4,5.7,0.76
,,,22.18,87.93,16,39,3.4,58.8,5.5,0.3
,,,22.18,87.93,39,50,2.6,62.8,5.7,0.16
,,,22.18,87.93,50,75,4.6,59,6.5,0.41
,,,22.18,87.93,75,100,6,57.8,7,0.21
55,SUKHALEASE,78800,23.13,86.65,0,15,66.8,22.1,6.2,0.6
,,,23.13,86.65,15,36,53.2,33.1,6.5,0.49
,,,23.13,86.65,36,50,47,37.3,6.4,0.25
,,,23.13,86.65,50,75,48.5,36.8,6.1,0.1
,,,23.13,86.65,75,92,49.1,38.2,5.8,0.12
,,,23.13,86.65,92,105,51.6,37.1,6.1,0.21
56,TEHATTA,7100,23.73,88.5,0,20,46.2,13.9,8.3,0.67
,,,23.73,88.5,20,50,42.6,12.9,8.3,0.12
,,,23.73,88.5,50,75,45,11.8,8.1,0.19
,,,23.73,88.5,75,120,66.8,9.9,7.8,0.12
,,,23.73,88.5,120,150,62.2,8.9,7.8,0.08
57,TELTAKA,144300,22.73,87.28,0,10,44,5.6,6.7,0.3
,,,22.73,87.28,10,28,19,12.8,6.8,0.09
,,,22.73,87.28,28,46,29,27.5,6.2,0.05
,,,22.73,87.28,46,78,36.2,33.7,6.4,0.23
,,,22.73,87.28,78,102,30.7,39.3,6.8,0.2
,,,22.73,87.28,102,150,24.4,40,6.9,0.12
58,TULSIDANGA,43900,25.18,88.15,0,12,20.6,19.6,5.8,0.56
,,,25.18,88.15,12,29,15.6,2,6.8,0.24
,,,25.18,88.15,29,52,10.1,40,7,0.38
,,,25.18,88.15,52,86,9.6,35.8,7.2,0.14
,,,25.18,88.15,86,129,9.4,38.1,7.2,0.35
59,UDDHARANPUR,88700,23.68,88.12,0,12,25,18,6.2,0.45
,,,23.68,88.12,12,33,19,27.6,6.4,0.25
,,,23.68,88.12,33,66,16.2,24,6.3,0.59
,,,23.68,88.12,66,91,21,26.6,6.5,0.21
,,,23.68,88.12,91,120,18,35.6,6.6,0.1
60,GANGARAMPUR,46600,25.53,88.5,0,11,10,29.9,6,0.66
,,,25.53,88.5,11,32,9.2,34.9,6.2,0.53
,,,25.53,88.5,32,75,9.6,32.9,6.2,0.3
,,,25.53,88.5,75,125,5.2,32.9,6.2,0.2
,,,25.53,88.5,125,150,2.7,42.9,6.1,0.11
61,GENRUA,6800,23.08,86.18,0,14,60.6,30,4.9,0.34
,,,23.08,86.18,14,39,51.8,32.7,5.4,0.31
,,,23.08,86.18,39,45,52.6,31.7,5.5,0.14
62,GOPALPUR,173400,24.3,87.88,0,15,10.8,20.5,5.7,0.6
,,,24.3,87.88,15,40,9.6,27.6,6.1,0.52
,,,24.3,87.88,40,59,8.6,35.4,6.5,0.33
,,,24.3,87.88,59,81,7.4,40.9,6.1,0.36
,,,24.3,87.88,81,150,6,41.9,5.7,0.24
63,HARINATHPUR,81180,23,88.82,0,12,14.2,35,6.7,0.6
,,,23,88.82,12,31,16.6,38.6,7.1,0.38
,,,23,88.82,31,50,17.8,40.6,7.3,0.3
,,,23,88.82,50,75,17,49,7.4,0.3
,,,23,88.82,75,100,15,42.6,7.5,0.2
64,HIJALGARA,70000,23.72,87.13,0,15,31.2,28.1,5,0.35
,,,23.72,87.13,15,42,36.4,36.1,5.8,0.2
65,JAGANNATHPUR,173400,22.5,87.7,0,15,1,49.1,6.2,0.51
,,,22.5,87.7,15,35,1.6,71,6.7,0.42
,,,22.5,87.7,35,58,2.4,78,7.3,0.39
,,,22.5,87.7,58,97,2.4,75.9,6.2,0.3
,,,22.5,87.7,97,140,2.4,81.7,6.2,0.24
66,JAMBANI,42600,22.58,87.95,0,11,36.9,19.3,6.7,0.28
,,,22.58,87.95,11,24,37.8,18.1,6.6,0.12
,,,22.58,87.95,24,42,28.3,27.6,6.7,0.14
,,,22.58,87.95,42,61,28.9,39.8,6.7,0.09
,,,22.58,87.95,61,84,30.9,38.6,6.4,0.15
,,,22.58,87.95,84,106,40.1,40.3,6.5,0.1
,,,22.58,87.95,106,125,29.8,44.2,6.6,0.11
67,JATIKRISHNAPUR,132900,22.08,87.26,0,12,82,6,7.2,0.24
,,,22.08,87.26,12,38,83.6,6,6,0.12
,,,22.08,87.26,88,116,80,4,7.6,0.23
,,,22.08,87.26,116,150,20,4,7.1,0.19
68,JHUNKA,52200,24,88.25,0,18,30.6,18.6,6,0.9
,,,24,88.25,18,38,23,18.2,6.2,0.6
,,,24,88.25,38,50,22.6,14.6,6.4,0.5
,,,24,88.25,50,75,23.5,7.4,6.5,0.5
,,,24,88.25,75,100,25.7,11,6.3,0.6
69,KALAJHARIYA,41800,23.63,86.93,0,14,66.5,17,5.4,0.21
,,,23.63,86.93,14,29,81.5,6,5.8,0.16
,,,23.63,86.93,29,48,30.4,19,6,0.75
70,KANAIDIGHI,71700,22.88,87.77,0,13,2.5,41.6,6.3,0.52
,,,22.88,87.77,13,28,3.1,48,6.8,0.34
,,,22.88,87.77,28,47,2,50.1,6.8,0.15
,,,22.88,87.77,47,74,2,51.3,7.2,0.25
,,,22.88,87.77,74,104,2.5,51.8,7.4,0.34
,,,22.88,87.77,104,130,1,48.6,7,0.2
71,KANKRADAHA,244800,22.32,88.63,0,13,1,32.5,6.7,0.29
,,,22.32,88.63,13,28,9.6,32.5,7.2,0.16
,,,22.32,88.63,28,50,3,31.5,7.8,0.5
,,,22.32,88.63,50,75,3,34.5,7.8,0.25
73,KHARAIBARI,45200,26.82,88.43,0,18,62.4,14.9,5.6,0.9
,,,26.82,88.43,18,35,59.4,20.9,5.4,0.6
,,,26.82,88.43,35,66,66.8,19.9,5.8,0.35
,,,26.82,88.43,66,95,78,13.9,6.2,0.23
74,KHEJURA,2780,22.85,86.65,0,15,48,32,6,0.4
,,,22.85,86.65,15,23,48.6,28.4,6.2,0.22
75,KUMARGRAM,30200,22.7,87.22,0,13,28,19.9,5.1,1.3
,,,22.7,87.22,13,36,13.6,27.9,4.4,1.2
,,,22.7,87.22,36,71,19.2,23.9,4.5,0.4
,,,22.7,87.22,71,98,20.4,24.9,4.4,0.3
,,,22.7,87.22,98,119,38.2,15.9,4.7,0.2
,,,22.7,87.22,119,153+,21.2,18.9,4.8,0.2
76,BALARAMPUR,291900,26.25,89.63,0,20,8,41.7,7.5,0.95
,,,26.25,89.63,20,47,9.5,43.7,8,0.4
,,,26.25,89.63,47,70,9,45.7,8.2,0.25
,,,26.25,89.63,70,120,12.5,46.7,8.3,0.21
77,BALIA,8400,25.73,88.02,0,10,11,34.2,7.1,0.65
,,,25.73,88.02,10,31,17.2,30.8,7.3,0.2
,,,25.73,88.02,31,62,16.2,34.2,7.2,0.22
,,,25.73,88.02,62,85,7.2,38.4,7.3,0.17
,,,25.73,88.02,85,125,20.6,23.2,7.4,0.07
78,BALRAMPUR,291900,24.08,88.22,0,20,8,41.7,7.5,0.95
,,,24.08,88.22,20,47,9.5,43.7,8,0.4
,,,24.08,88.22,47,70,9,45.7,8.2,0.25
,,,24.08,88.22,70,120,12.5,46.7,8.3,0.21
79,BANESWARPUR,34100,22.62,88.03,0,10,2.1,54.1,5.6,0.48
,,,22.62,88.03,10,23,4.9,59.9,6.6,0.54
,,,22.62,88.03,23,55,13.3,40.7,7,0.29
,,,22.62,88.03,55,85,19.7,36.5,7.3,0.17
,,,22.62,88.03,85,105,23.1,29.9,7.5,0.16
,,,22.62,88.03,105,135,23.8,18.6,7.7,0.15
,,,22.62,88.03,135,150,23,19,7.5,0.14
80,BANKUL,101800,22.67,88.08,0,13,24.7,28,7.1,0.48
,,,22.67,88.08,13,37,14.6,31.5,7.3,0.39
,,,22.67,88.08,37,60,15.7,23,7.5,0.25
,,,22.67,88.08,60,92,30.4,12.4,7.6,0.28
81,SAMASPUR,78100,25.67,88.25,0,12,49,16.5,6,0.4
,,,25.67,88.25,12,36,58,23.5,6.2,0.22
,,,25.67,88.25,36,62,29,25.5,6,0.1
,,,25.67,88.25,62,90,44.6,20.5,7.7,0.17
,,,25.67,88.25,90,123,72.8,11.5,6.3,0.05
1,BHATINA,3772,24.1786111111,87.7075,0,16,49.1,22.6,5.4,1.3
2,RASPUR,12464,24.0058333333,87.5111111111,0,12,81.6,11.1,6,0.57
,,,24.0058333333,87.5111111111,12,31,73.5,18.1,6.2,0.6
3,JHINJHARPUR,17085,24.0672222222,87.515,0,9,54,32.4,6,0.68
,,,24.0672222222,87.515,9,35,72,21,6.2,0.28
,,,24.0672222222,87.515,35,42,66,24.1,5.8,0.18
4,MALDIHA,8674,23.9877777778,87.6061111111,0,12,84,11.6,5.2,0.21
,,,23.9877777778,87.6061111111,12,32,70.6,18.6,4.9,0.21
,,,23.9877777778,87.6061111111,32,58,67.2,22.6,5.1,0.2
5,ABDARPUR,32871,23.8944444444,87.5247222222,0,14,50.8,16.7,5.2,0.39
,,,23.8944444444,87.5247222222,14,28,51.3,20.7,6,0.12
,,,23.8944444444,87.5247222222,28,44,33.8,34.7,6.3,0.12
,,,23.8944444444,87.5247222222,44,70,39.8,30.7,6.4,0.06
,,,23.8944444444,87.5247222222,70,98,45.3,33.7,6.4,0.04
6,BHADULIA,2732,23.8111111111,87.2197222222,0,13,48.6,22.8,5.6,0.44
,,,23.8111111111,87.2197222222,13,27,51.6,24.6,5.8,0.36
,,,23.8111111111,87.2197222222,27,57,53.1,30,6.1,0.32
,,,23.8111111111,87.2197222222,57,88,49.3,35.1,6.3,0.25
,,,23.8111111111,87.2197222222,88,117,45.5,35.9,6.5,0.19
,,,23.8111111111,87.2197222222,117,150,46.2,36.6,6.3,0.16
7,KHARBONA,27731,24.1580555556,87.7469444444,0,10,59.5,15.6,5.6,0.48
,,,24.1580555556,87.7469444444,10,20,57.5,18.6,6.3,0.32
,,,24.1580555556,87.7469444444,20,38,50.7,22.6,6.3,0.2
,,,24.1580555556,87.7469444444,38,65,40.3,28.6,6.3,0.11
,,,24.1580555556,87.7469444444,65,88,39.8,33.6,6.4,0.16
,,,24.1580555556,87.7469444444,88,125,36.3,36.6,6.2,0.1
8,MATIMAHAL,12738,24.1780555556,87.7405555556,0,11,73,14,5.9,0.33
,,,24.1780555556,87.7405555556,11,23,65.7,15.1,5.9,0.31
,,,24.1780555556,87.7405555556,23,54,62.1,18.1,6,0.27
,,,24.1780555556,87.7405555556,54,96,44.6,34.6,5.6,0.21
,,,24.1780555556,87.7405555556,96,125,44,34.6,5.8,0.15
9,SADAIPUR,42986,23.8263888889,87.4827777778,0,11,42.7,30.5,6.5,0.15
,,,23.8263888889,87.4827777778,11,27,42.4,36.9,7.3,0.11
,,,23.8263888889,87.4827777778,27,44,43.2,37.3,7.4,0.1
,,,23.8263888889,87.4827777778,44,64,45.5,38.5,7.4,0.1
,,,23.8263888889,87.4827777778,64,100,43.4,40,7.4,0.1
,,,23.8263888889,87.4827777778,100,130,34.1,35.8,7.3,0.1
10,HAZIPUR,49426,24.0297222222,87.4827777778,0,6,12.5,45.1,6.3,0.46
,,,24.0297222222,87.4827777778,6,19,11.9,48.1,6.8,0.31
,,,24.0297222222,87.4827777778,19,29,9.8,56.1,6.4,0.19
,,,24.0297222222,87.4827777778,29,62,11.7,54.1,6.1,0.16
,,,24.0297222222,87.4827777778,62,130,8.1,56.1,6.3,0.07
11,GHOSHGRAM,74492,24.0555555556,87.8822222222,0,11,10.2,41.1,6.8,0.59
,,,24.0555555556,87.8822222222,11,20,9.4,46.1,7.2,0.31
,,,24.0555555556,87.8822222222,20,42,7.4,50.1,7.5,0.19
,,,24.0555555556,87.8822222222,42,90,5.9,49.1,7.6,0.16
,,,24.0555555556,87.8822222222,90,135,11.7,47.1,7.8,0.17
12,SEKHAMPUR,26794,23.8152777778,87.5866666667,0,14,50.2,20.4,5.1,0.43
,,,23.8152777778,87.5866666667,14,41,44.6,29.4,6.2,0.16
,,,23.8152777778,87.5866666667,41,75,39.2,38.4,6.3,0.13
,,,23.8152777778,87.5866666667,75,106,37.4,40.4,6.1,0.1
,,,23.8152777778,87.5866666667,106,135,37,43.4,6.1,0.06
13,GOURBAZAR,37202,24.0472222222,87.7802777778,0,12,22.4,22.6,6.5,0.65
,,,24.0472222222,87.7802777778,12,37,36.8,22.6,6.8,0.35
